iter	MultiClass
0	1.506312606
1	1.319281643
2	1.178709095
3	1.05941694
4	0.9588028816
5	0.8774068317
6	0.8080989212
7	0.7507052508
8	0.6970491797
9	0.6486049128
10	0.6067683139
11	0.570290037
12	0.5354934641
13	0.5075168565
14	0.4804269577
15	0.4541177677
16	0.4315537087
17	0.4116836046
18	0.3928118675
19	0.3741429288
20	0.3580919904
21	0.3426475941
22	0.3288759505
23	0.3160650238
24	0.3037805822
25	0.2932794551
26	0.2826593325
27	0.2719617189
28	0.2632667565
29	0.2545377516
30	0.2465207563
31	0.2388705481
32	0.2316953838
33	0.2251044851
34	0.2187250304
35	0.2142382791
36	0.2097848174
37	0.2051327355
38	0.2001371349
39	0.1953910403
40	0.1914543406
41	0.1874683652
42	0.1839387267
43	0.1800888781
44	0.1756322763
45	0.1722021783
46	0.1690601983
47	0.1660534991
48	0.1637509514
49	0.1608728249
50	0.1591928925
51	0.1566619869
52	0.1537424413
53	0.151099665
54	0.1482384822
55	0.1464676326
56	0.1443658297
57	0.1422596106
58	0.1401574911
59	0.1381081193
60	0.1361631111
61	0.1344555167
62	0.1320619467
63	0.130654447
64	0.1291503952
65	0.1279847043
66	0.1262083792
67	0.1237961515
68	0.1218940044
69	0.1203765571
70	0.1187538546
71	0.11778295
72	0.1165762325
73	0.1150417719
74	0.1140699207
75	0.1120494899
76	0.1105599936
77	0.10984028
78	0.1087063055
79	0.1079839992
80	0.1063814197
81	0.1055484811
82	0.1045165909
83	0.1031245115
84	0.1021211999
85	0.1012462879
86	0.1004043196
87	0.09937833065
88	0.09860350539
89	0.09733676818
90	0.0964331016
91	0.09589071523
92	0.09498172594
93	0.09386151272
94	0.09259274463
95	0.09182930272
96	0.09110070634
97	0.09027146631
98	0.08934561066
99	0.08832329859
100	0.08751064655
101	0.08678502343
102	0.08594225835
103	0.08512649173
104	0.08437763565
105	0.08328849036
106	0.08292143373
107	0.08247644369
108	0.08191096473
109	0.08108399308
110	0.08022070851
111	0.07959991043
112	0.07901285899
113	0.07810589874
114	0.07749312167
115	0.07688600879
116	0.07640837547
117	0.07589168087
118	0.07554582226
119	0.07508235236
120	0.07467731718
121	0.07416550047
122	0.07367870712
123	0.07292057328
124	0.07230306661
125	0.07174179041
126	0.07138132601
127	0.07117037931
128	0.07065329312
129	0.07037115608
130	0.0699087284
131	0.06947164
132	0.0690274205
133	0.06858281289
134	0.06799150441
135	0.0675917525
136	0.06709129859
137	0.06655934976
138	0.06631063556
139	0.06612844363
140	0.06595791584
141	0.06564743795
142	0.06519178203
143	0.0647085096
144	0.06414169629
145	0.06382277816
146	0.06315902309
147	0.06282851316
148	0.06226545045
149	0.06186438478
150	0.06158894357
151	0.06105699503
152	0.0604778185
153	0.06026239871
