iter	Passed	Remaining
0	23	23422
1	43	21576
2	62	20733
3	81	20295
4	101	20232
5	120	20015
6	142	20230
7	161	20034
8	182	20105
9	202	20046
10	221	19928
11	241	19845
12	260	19776
13	279	19691
14	298	19615
15	318	19600
16	337	19528
17	356	19472
18	376	19463
19	397	19470
20	419	19544
21	438	19471
22	456	19387
23	475	19346
24	494	19296
25	514	19284
26	536	19321
27	556	19329
28	576	19309
29	595	19262
30	615	19243
31	634	19204
32	653	19159
33	673	19149
34	692	19094
35	711	19050
36	730	19010
37	748	18960
38	768	18926
39	787	18903
40	806	18855
41	824	18810
42	843	18780
43	862	18742
44	882	18729
45	902	18714
46	921	18681
47	944	18736
48	963	18704
49	985	18727
50	1006	18728
51	1025	18699
52	1045	18684
53	1065	18662
54	1085	18658
55	1104	18616
56	1124	18600
57	1143	18579
58	1163	18557
59	1182	18527
60	1201	18496
61	1221	18478
62	1240	18451
63	1258	18408
64	1276	18367
65	1295	18336
66	1314	18305
67	1333	18273
68	1355	18282
69	1375	18277
70	1396	18270
71	1415	18250
72	1436	18237
73	1454	18206
74	1472	18166
75	1491	18138
76	1510	18109
77	1529	18078
78	1550	18074
79	1567	18031
80	1586	18004
81	1606	17979
82	1625	17957
83	1644	17932
84	1663	17905
85	1682	17878
86	1701	17858
87	1719	17825
88	1738	17795
89	1761	17806
90	1780	17785
91	1798	17754
92	1817	17730
93	1837	17705
94	1858	17702
95	1876	17671
96	1895	17650
97	1914	17624
98	1934	17601
99	1953	17582
100	1972	17557
101	1993	17547
102	2013	17533
103	2032	17510
104	2051	17484
105	2069	17456
106	2090	17446
107	2110	17429
108	2129	17410
109	2151	17405
110	2174	17416
111	2194	17399
112	2213	17376
113	2232	17351
114	2251	17327
115	2270	17305
116	2290	17283
117	2308	17257
118	2327	17232
119	2349	17229
120	2372	17233
121	2393	17227
122	2416	17226
123	2440	17241
124	2462	17239
125	2482	17222
126	2505	17224
127	2526	17213
128	2551	17227
129	2575	17234
130	2597	17230
131	2616	17206
132	2635	17177
133	2653	17147
134	2672	17125
135	2690	17093
136	2710	17072
137	2728	17046
138	2747	17018
139	2765	16990
140	2784	16964
141	2803	16937
142	2821	16911
143	2840	16884
144	2858	16857
145	2878	16835
146	2897	16811
147	2916	16787
148	2935	16768
149	2954	16740
150	2974	16725
151	2994	16703
152	3014	16687
153	3032	16660
154	3051	16635
155	3070	16611
156	3088	16584
157	3107	16558
158	3126	16534
159	3143	16505
160	3162	16481
161	3181	16457
162	3200	16436
163	3219	16413
164	3238	16390
165	3257	16363
166	3277	16346
167	3295	16322
168	3315	16301
169	3334	16280
170	3353	16256
171	3371	16231
172	3392	16215
173	3411	16193
174	3430	16170
175	3449	16149
176	3467	16124
177	3487	16103
178	3505	16078
179	3524	16056
180	3544	16039
181	3564	16019
182	3584	16001
183	3602	15978
184	3621	15956
185	3640	15933
186	3659	15909
187	3678	15887
188	3697	15867
189	3716	15845
190	3735	15821
191	3753	15796
192	3773	15776
193	3795	15768
194	3813	15744
195	3832	15721
196	3851	15699
197	3870	15677
198	3889	15654
199	3907	15629
200	3926	15607
201	3944	15584
202	3963	15562
203	3982	15540
204	4005	15534
205	4024	15512
206	4042	15487
207	4061	15464
208	4080	15442
209	4099	15421
210	4117	15398
211	4136	15376
212	4155	15355
213	4174	15330
214	4193	15310
215	4216	15305
216	4236	15285
217	4257	15270
218	4277	15254
219	4295	15230
220	4314	15207
221	4332	15183
222	4351	15161
223	4370	15140
224	4388	15115
225	4406	15091
226	4425	15068
227	4444	15047
228	4464	15029
229	4483	15011
230	4503	14991
231	4521	14968
232	4541	14949
233	4560	14927
234	4579	14907
235	4599	14891
236	4620	14874
237	4639	14855
238	4659	14837
239	4680	14821
240	4699	14801
241	4719	14782
242	4740	14768
243	4760	14749
244	4780	14732
245	4800	14713
246	4820	14696
247	4840	14678
248	4860	14660
249	4880	14641
250	4900	14624
251	4920	14603
252	4940	14587
253	4960	14568
254	4981	14553
255	4999	14531
256	5023	14523
257	5043	14503
258	5062	14482
259	5081	14462
260	5099	14438
261	5117	14415
262	5136	14394
263	5155	14374
264	5174	14351
265	5193	14330
266	5212	14309
267	5232	14290
268	5252	14273
269	5271	14253
270	5291	14233
271	5311	14217
272	5333	14201
273	5353	14184
274	5371	14161
275	5391	14142
276	5410	14121
277	5431	14106
278	5450	14086
279	5469	14064
280	5487	14042
281	5507	14022
282	5528	14007
283	5550	13993
284	5573	13983
285	5596	13971
286	5614	13948
287	5633	13927
288	5654	13910
289	5675	13895
290	5694	13873
291	5712	13851
292	5731	13830
293	5750	13808
294	5768	13786
295	5788	13767
296	5806	13745
297	5826	13726
298	5849	13713
299	5868	13692
300	5886	13670
301	5906	13650
302	5926	13632
303	5949	13621
304	5974	13614
305	5999	13607
306	6021	13592
307	6040	13571
308	6059	13551
309	6079	13530
310	6098	13510
311	6117	13490
312	6136	13468
313	6155	13447
314	6173	13425
315	6192	13404
316	6211	13382
317	6230	13363
318	6249	13340
319	6270	13325
320	6290	13306
321	6309	13284
322	6329	13265
323	6347	13244
324	6366	13222
325	6384	13199
326	6403	13178
327	6422	13158
328	6441	13136
329	6459	13114
330	6479	13096
331	6504	13088
332	6529	13079
333	6552	13064
334	6576	13054
335	6598	13040
336	6618	13020
337	6637	12999
338	6655	12977
339	6677	12961
340	6695	12939
341	6714	12918
342	6734	12898
343	6751	12875
344	6770	12854
345	6789	12832
346	6808	12812
347	6828	12792
348	6845	12769
349	6865	12749
350	6884	12730
351	6907	12716
352	6929	12701
353	6950	12683
354	6972	12668
355	6993	12651
356	7014	12633
357	7032	12611
358	7051	12590
359	7073	12574
360	7092	12554
361	7111	12533
362	7130	12512
363	7149	12491
364	7167	12469
365	7187	12449
366	7206	12429
367	7224	12406
368	7243	12386
369	7262	12366
370	7280	12343
371	7299	12322
372	7319	12304
373	7339	12285
374	7361	12269
375	7388	12261
376	7411	12247
377	7432	12229
378	7453	12212
379	7471	12190
380	7493	12174
381	7513	12155
382	7533	12136
383	7553	12117
384	7572	12095
385	7595	12082
386	7616	12063
387	7636	12044
388	7657	12028
389	7680	12012
390	7701	11995
391	7721	11976
392	7741	11957
393	7762	11939
394	7786	11926
395	7806	11907
396	7829	11891
397	7849	11872
398	7869	11852
399	7890	11835
400	7909	11815
401	7928	11794
402	7946	11771
403	7965	11750
404	7983	11728
405	8001	11707
406	8020	11686
407	8038	11663
408	8057	11642
409	8076	11622
410	8095	11601
411	8114	11581
412	8133	11559
413	8151	11538
414	8169	11516
415	8188	11495
416	8207	11474
417	8225	11452
418	8243	11431
419	8262	11409
420	8281	11389
421	8303	11373
422	8322	11352
423	8341	11332
424	8360	11311
425	8379	11291
426	8400	11273
427	8419	11252
428	8437	11230
429	8455	11208
430	8473	11186
431	8492	11165
432	8511	11144
433	8530	11124
434	8553	11109
435	8574	11092
436	8595	11073
437	8615	11054
438	8634	11034
439	8653	11013
440	8673	10994
441	8694	10976
442	8717	10960
443	8738	10942
444	8758	10922
445	8777	10903
446	8797	10883
447	8816	10863
448	8839	10847
449	8862	10832
450	8882	10812
451	8901	10792
452	8922	10773
453	8943	10756
454	8963	10737
455	8984	10717
456	9004	10699
457	9024	10680
458	9046	10662
459	9066	10642
460	9085	10622
461	9105	10603
462	9128	10587
463	9147	10566
464	9167	10547
465	9187	10527
466	9207	10508
467	9228	10490
468	9248	10470
469	9268	10451
470	9288	10432
471	9308	10412
472	9327	10392
473	9346	10371
474	9365	10351
475	9385	10331
476	9405	10312
477	9424	10291
478	9442	10270
479	9460	10249
480	9480	10229
481	9499	10208
482	9519	10189
483	9542	10173
484	9562	10153
485	9581	10133
486	9600	10112
487	9619	10092
488	9637	10071
489	9656	10050
490	9674	10029
491	9693	10008
492	9712	9988
493	9732	9968
494	9751	9948
495	9770	9927
496	9789	9907
497	9810	9889
498	9830	9869
499	9848	9848
500	9868	9828
501	9887	9809
502	9909	9791
503	9929	9771
504	9953	9756
505	9973	9736
506	9993	9717
507	10016	9701
508	10041	9686
509	10064	9670
510	10091	9656
511	10115	9641
512	10135	9622
513	10154	9601
514	10173	9580
515	10192	9560
516	10212	9540
517	10230	9519
518	10249	9498
519	10267	9477
520	10287	9457
521	10306	9437
522	10324	9416
523	10343	9395
524	10365	9378
525	10386	9359
526	10408	9342
527	10432	9326
528	10455	9309
529	10479	9293
530	10499	9273
531	10519	9254
532	10538	9233
533	10557	9213
534	10576	9192
535	10594	9171
536	10613	9151
537	10633	9131
538	10651	9110
539	10670	9089
540	10688	9068
541	10707	9047
542	10726	9027
543	10744	9006
544	10763	8986
545	10788	8970
546	10809	8951
547	10829	8932
548	10850	8913
549	10870	8894
550	10889	8873
551	10910	8855
552	10933	8837
553	10955	8819
554	10976	8801
555	10997	8782
556	11017	8762
557	11035	8741
558	11055	8721
559	11073	8700
560	11091	8679
561	11110	8658
562	11129	8638
563	11147	8617
564	11167	8597
565	11187	8578
566	11207	8558
567	11226	8538
568	11244	8517
569	11265	8498
570	11306	8494
571	11360	8500
572	11404	8498
573	11435	8487
574	11455	8466
575	11474	8446
576	11493	8426
577	11511	8404
578	11530	8384
579	11549	8363
580	11569	8343
581	11590	8324
582	11609	8303
583	11628	8283
584	11648	8263
585	11671	8245
586	11691	8226
587	11711	8206
588	11731	8186
589	11751	8166
590	11770	8145
591	11789	8124
592	11808	8104
593	11827	8084
594	11846	8063
595	11864	8042
596	11883	8022
597	11902	8001
598	11922	7981
599	11941	7960
600	11962	7941
601	11981	7921
602	12002	7902
603	12022	7882
604	12044	7863
605	12064	7844
606	12086	7825
607	12106	7805
608	12126	7785
609	12147	7766
610	12167	7746
611	12187	7726
612	12207	7706
613	12228	7687
614	12248	7667
615	12268	7648
616	12289	7628
617	12315	7612
618	12335	7592
619	12355	7572
